Source:;Public Database ;
Last Updated:;lunes, 1 de febrero de 2021;
;;
GeografiaID;PaisCiudad;Departamento
4;Colombia Apartadó;Antioquia
39;Colombia Armenia;Quindío
43;Colombia Barrancabermeja;Santander
8;Colombia Barranquilla;Atlántico
9;Colombia Bogotá D.C;Cundinamarca
42;Colombia Bucaramanga;Santander
52;Colombia Buenaventura;Valle del Cauca
54;Colombia Buga;Valle del Cauca
49;Colombia Cali;Valle del Cauca
12;Colombia Cartagena;Bolívar
53;Colombia Cartago;Valle del Cauca
6;Colombia Caucasia;Antioquia
29;Colombia Ciénaga;Magdalena
7;Colombia Ciudad de Arauca;Arauca
41;Colombia Ciudad de San Andrés;San Andrés y Provincia
34;Colombia Cúcuta;Norte Santander
14;Colombia Duitama;Boyacá
17;Colombia Florencia;Caquetá
11;Colombia Fusagasugá;Cundinamarca
10;Colombia Girardot;Cundinamarca
48;Colombia Honda;Tolima
47;Colombia Ibagué;Tolima
23;Colombia Inírida;Guainía
32;Colombia Ipiales;Nariño
1;Colombia Leticia;Amazonas
27;Colombia Maicao;La Guajira
45;Colombia Málaga;Santander
16;Colombia Manizales;Caldas
2;Colombia Medellín;Antioquia
55;Colombia Mitú;Vaupés
37;Colombia Mocoa;Putumayo
22;Colombia Montería;Córdoba
25;Colombia Neiva;Huila
35;Colombia Ocaña;Norte Santander
51;Colombia Palmira;Valle del Cauca
36;Colombia Pamplona;Norte Santander
31;Colombia Pasto;Nariño
40;Colombia Pereira;Risaralda
19;Colombia Popayán;Cauca
38;Colombia Puerto Asís;Putumayo
56;Colombia Puerto Carreño;Vichada
21;Colombia Quibdó;Chocó
26;Colombia Riohacha;La Guajira
3;Colombia Rionegro;Antioquia
44;Colombia San Gil;Santander
24;Colombia San José;Guaviare
28;Colombia Santa Marta;Magdalena
46;Colombia Sincelejo;Sucre
15;Colombia Sogamoso;Boyacá
50;Colombia Tuluá;Valle del Cauca
33;Colombia Tumaco;Nariño
13;Colombia Tunja;Boyacá
5;Colombia Turbo;Antioquia
20;Colombia Valledupar;Cesar
30;Colombia Villavicencio;Meta
18;Colombia Yopal;Casanare
